. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - I down,I - e down,e-5 down,5 - r down,r - o down,o - a down,a - n down,n - l down,. = t up,t - I up,I - e up,e - 5 up,5 - r up,r - o  up,o - a up,a - n up
2.00E-05,0.039922953,1.256103039,1.335884094,1.643860102,1.760035038,0.767891884,0.895423889,0.712131977,0.769864082,1.842622995,1.73583889,1.783839941,1.56119895,1.627639055,1.472114086,1.576951027,0.583904982,0.680063963,0.128226995,0.055759907,0.488211155,0.216011047,0.089084864,0.082661152,0.091978788,0.106784105,0.64014101,0.089800119,0.125559807,0.440460205,0.241066933,0.050688028,0.132395983,0.023804903
2.00E-05,0.09623003,0.817424059,0.903724909,1.288100958,1.417096853,0.335188866,0.418813944,0.252712011,0.312099934,1.80825901,1.38411808,1.439929008,1.201312065,1.264005899,1.099895,1.216745853,0.12018609,0.232020855,0.132525921,0.082476854,0.482235193,0.282470942,0.101417065,0.086788893,0.096017122,0.42414093,0.135790825,0.080079079,0.10671401,0.484910965,0.313020945,0.047260046,0.153090954,0.022832155
2.00E-05,0.071753025,0.955210924,1.063501835,1.375458956,1.503537893,0.373147964,0.479890823,0.296020985,0.376982927,1.607820034,1.480090857,1.551836967,1.279659986,1.359604836,1.199806929,1.30399704,0.199822903,0.306445837,0.096198082,0.07712698,0.58206296,0.244596004,0.079853058,0.095798969,0.104631901,0.127729177,0.234692812,0.07053709,0.102907896,0.583611012,0.240495205,0.055607796,0.143933058,0.048299074
2.10E-05,0.087878942,0.887975931,0.967912912,1.27294302,1.405694008,0.351963997,0.458724976,0.29328084,0.375594854,1.47998786,1.390270948,1.440269947,1.183844805,1.256824017,1.10439086,1.207892895,0.168037891,0.272075891,0.125242949,0.058683157,0.536011934,0.216414928,0.079453945,0.089098215,0.117327929,0.089716911,0.184196949,0.103518963,0.083130121,0.509187937,0.239979982,0.048931122,0.148869991,0.034575939
2.50E-05,0.098592043,0.959692001,1.039638042,1.362503052,1.481920004,0.407578945,0.530972958,0.311639071,0.430901051,1.55984807,1.455715895,1.529201984,1.263576984,1.345187902,1.191704988,1.279433966,0.215561867,0.33544302,0.096077204,0.095939875,0.552113056,0.232012987,0.071871996,0.098926067,0.093212843,0.104132175,0.236850977,0.095458031,0.100071907,0.508665085,0.239795923,0.065753937,0.136732101,0.047281981
2.10E-05,0.095999002,0.847913027,0.945005178,1.248073101,1.37573719,0.364405155,0.448178053,0.280219078,0.36691308,1.477596045,1.351901054,1.431965113,1.168084145,1.231985092,1.078366995,1.177958012,0.164230108,0.263892174,0.11598897,0.084186077,0.483507872,0.230453968,0.08971715,0.079988956,0.103827953,0.12569499,0.167893171,0.103020906,0.081264973,0.496827126,0.232952833,0.054027081,0.143752098,0.056227922
2.10E-05,0.064188004,0.864000082,0.967956066,1.270271063,1.392073154,0.335904121,0.448014975,0.247902155,0.35584116,1.440178156,1.351927996,1.45287919,1.191910028,1.247987986,1.111884117,1.216013193,0.159713984,0.273478985,0.088188171,0.088001966,0.528095961,0.247884035,0.080025911,0.078361034,0.081656933,0.08825016,0.209290981,0.082362175,0.092173815,0.519941092,0.248057127,0.031974792,0.144085169,0.060806036
2.00E-05,0.072148085,0.776940107,0.864068031,1.174199104,1.295639038,0.351945162,0.464072943,0.276015043,0.375761986,1.37394309,1.272115946,1.360032082,1.08009696,1.151961088,1.007976055,1.103986025,0.159965992,0.263642073,0.116049051,0.075930119,0.424994946,0.231035948,0.072120905,0.094102144,0.097916842,0.101827145,0.191493988,0.112119913,0.088310957,0.399995089,0.239917994,0.047975063,0.14367795,0.064393044
3.19E-05,0.072417021,0.848368883,0.930812836,1.24719286,1.368059874,0.368290901,0.480156898,0.300163984,0.398783922,1.431969881,1.34682703,1.400211811,1.160143852,1.230387926,1.08224988,1.180160046,0.16052103,0.303186893,0.139642954,0.068126917,0.480077982,0.233880997,0.077893972,0.087049007,0.099634171,0.085142851,0.230769873,0.095597029,0.081372976,0.450655937,0.24934721,0.05022788,0.137671947,0.032151937
1.91E-05,0.103950024,0.96016717,1.055785179,1.366232157,1.498592138,0.435451031,0.544041157,0.344182968,0.439260006,1.607652187,1.480110168,1.559859037,1.280295134,1.343991995,1.192118168,1.299546003,0.247825146,0.369048119,0.096357822,0.091268063,0.524716139,0.231950998,0.088176966,0.085937023,0.113878012,0.127542019,0.265098095,0.070211887,0.104781151,0.511744022,0.243760824,0.044445992,0.154600143,0.061266899
