. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t-l down,l - e down,e-5 down,5 - r down,r - o down,o - a down,a - n down,n - l down,. - t up,t - l up,l - e up,e - 5 up,5 - r up,r - o up,o - a up,a - n up
2.00E-05,0.111886978,0.600044966,0.671962976,1.047996998,1.151880026,0.4016819,0.47989893,0.327871084,0.418363094,1.336019039,1.175991058,1.239733934,0.967557907,1.066819906,0.817193031,0.887876034,0.18522191,0.302124977,0.142649174,0.073810816,0.198363066,0.217148066,0.150364876,0.080439091,0.127994061,0.160027981,0.190237999,0.116238117,0.061535835,0.192064047,0.215913057,0.178943872,0.08506012,0.087853909
2.00E-05,0.118445873,0.671864986,0.750694036,1.199319839,1.315325022,0.407749891,0.495913982,0.296012878,0.391747952,1.482569933,1.303995848,1.367465973,1.071737051,1.175874949,0.967978001,1.031877041,0.151973963,0.251666069,0.144038916,0.111737013,0.264115095,0.296113014,0.10375905,0.127582788,0.104676008,0.178574085,0.133220196,0.140081882,0.104166031,0.254780054,0.281183004,0.143997908,0.139450073,0.052140951
2.00E-05,0.095866203,0.592185974,0.631467104,0.992076159,1.107381105,0.367810011,0.472630024,0.292671204,0.399916172,1.290709972,1.125115156,1.1918571,0.911776066,1.024969101,0.759996176,0.839858055,0.176830053,0.276307106,0.11584115,0.075138807,0.224375963,0.167810202,0.15177989,0.080300093,0.133038998,0.165594816,0.180440903,0.123609066,0.072713852,0.15883708,0.208390951,0.185111046,0.082412004,0.084475994
2.00E-05,0.111912966,0.607815027,0.68789196,1.095975876,1.191880941,0.360035896,0.463871956,0.287984848,0.383731842,1.389659882,1.224012852,1.30389595,1.031970024,1.127619982,0.858837843,0.95746088,0.176576853,0.25590992,0.111407995,0.072051048,0.247779131,0.251022816,0.173132181,0.064005852,0.128036976,0.16564703,0.143996954,0.127821922,0.080140114,0.224020004,0.26956892,0.170159101,0.06426096,0.112015009
2.10E-05,0.111922026,1.184087038,1.255877018,1.583524942,1.687861919,0.784645081,0.871875048,0.684560061,0.743891954,1.839996099,1.699681044,1.767889977,1.487633944,1.575865984,1.383993864,1.455892086,0.551729918,0.631895065,0.132830143,0.10008502,0.399441957,0.199906826,0.103640079,0.095890999,0.116156101,0.140315056,0.51997304,0.111996889,0.127983093,0.38400197,0.200015068,0.119973898,0.111995935,0.080028057
2.00E-05,0.095941067,0.633900166,0.70383215,1.023951054,1.135859013,0.401169062,0.487887144,0.312015057,0.391884089,1.295956135,1.152058125,1.223638058,0.967242002,1.071860075,0.823944092,0.895853996,0.160101175,0.255738974,0.151913881,0.089154005,0.232731104,0.190043926,0.143297911,0.056709051,0.128107071,0.14389801,0.159797907,0.136145115,0.096003056,0.215945005,0.192021847,0.176006079,0.063998938,0.087779045
2.00E-05,0.085268021,0.565238953,0.644857883,0.981220007,1.085126877,0.365634918,0.437152863,0.269237041,0.349141836,1.245247841,1.101125002,1.173116922,0.893235922,1.004945993,0.757210016,0.845147848,0.133066893,0.229122877,0.136170149,0.096397877,0.199604034,0.191971064,0.136025906,0.087984085,0.119904995,0.144122839,0.143854856,0.120018959,0.088011026,0.207705021,0.200289965,0.159798145,0.080180883,0.087990046
2.00E-05,0.103883982,0.667894125,0.735893011,1.099786043,1.191893101,0.416084051,0.527890921,0.319966078,0.418256998,1.375960112,1.217265129,1.296142101,1.007936954,1.119667053,0.879921913,0.967411041,0.18366003,0.263889074,0.136306047,0.096117973,0.251810074,0.212027788,0.128015041,0.091849089,0.117479086,0.158694983,0.160005093,0.154367924,0.109633923,0.20800209,0.23151803,0.152256012,0.072226048,0.104249001
2.00E-05,0.111762047,0.607979059,0.679862022,0.999950171,1.119831085,0.384085178,0.471887112,0.303842068,0.399685144,1.295834064,1.142996073,1.210116148,0.927977085,1.0318501,0.791961193,0.855912209,0.1629951,0.263462067,0.140846968,0.080243111,0.223893881,0.183982134,0.136015892,0.071973085,0.143045902,0.152837992,0.15170002,0.136223078,0.072201967,0.207974911,0.176050186,0.175937891,0.087980986,0.090285063
2.22E-05,0.103847027,0.641203165,0.711920023,1.064062119,1.167790174,0.391808987,0.471816063,0.26394105,0.351773977,1.335901022,1.189973116,1.256700993,0.959912062,1.066416025,0.823750019,0.919855118,0.143936157,0.215801001,0.120004892,0.127867937,0.249394178,0.182546854,0.136162043,0.104150057,0.125910997,0.145927906,0.111953974,0.135972977,0.120042086,0.24010396,0.207935095,0.146560907,0.101374149,0.088910818
