. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
2.10E-05,0.112884998,0.847835064,0.977795124,1.407962084,1.511881113,0.496016979,0.591769934,0.376006126,0.448001146,1.799947977,1.607950926,1.655906916,1.275823116,1.375922918,1.167956114,1.255861044,0.255970001,0.335876942,0.120036125,0.120010853,0.351818085,0.32012105,0.107867002,0.132138968,0.199988842,0.191997051,0.222991943,0.112124205,0.143768787,0.38602519,0.27806592,0.120061874,0.135958195,0.144025803
2.10E-05,0.095903158,0.856798172,0.967871189,1.343939066,1.431907177,0.504101038,0.607645988,0.390805006,0.457967997,1.671257973,1.472381115,1.519922972,1.191965103,1.303903103,1.140032053,1.207878113,0.288213968,0.375739098,0.102591038,0.113296032,0.352697134,0.283233881,0.05193305,0.151973963,0.128442049,0.198876858,0.279835939,0.082228899,0.149677992,0.360225201,0.240006924,0.09602499,0.128004074,0.088015795
4.01E-05,0.103899956,0.914874077,0.991857052,1.551910162,1.677680969,0.514206171,0.623939991,0.397683144,0.471873999,1.952031136,1.800085068,1.831859112,1.399961948,1.495841026,1.207919121,1.287922144,0.287984133,0.375880003,0.109699011,0.116523027,0.400667906,0.293045044,0.192042828,0.151948214,0.248174906,0.151946068,0.271980047,0.095993996,0.152065992,0.367917061,0.296065092,0.207918882,0.181839943,0.154178143
2.10E-05,0.081084013,1.391991138,1.46388793,1.895988941,2.007878065,1.064002991,1.159883976,0.951997995,1.028675079,2.287925959,2.103914022,2.143532038,1.776991129,1.847706079,1.66395092,1.751863956,0.304039001,0.383929014,0.647958994,0.112004995,0.327988148,0.271959782,0.113040209,0.118997812,0.207925081,0.184011936,0.302845001,0.644746065,0.131208897,0.304003954,0.287976027,0.095842123,0.160171986,0.135653973
1.91E-05,0.087952852,0.848028898,0.943929911,1.320020914,1.41573596,0.496057987,0.610931873,0.377770901,0.460551023,1.69046998,1.491643906,1.511755943,1.160017967,1.247900963,1.112010002,1.191911936,0.272172928,0.361300945,0.105597973,0.118287086,0.351970911,0.263981104,0.048007965,0.160002947,0.171622992,0.198826075,0.273348093,0.099250078,0.15038085,0.332998037,0.247982025,0.055989027,0.167834997,0.096019983
2.00E-05,0.095898151,1.503966093,1.60768199,2.007944107,2.087809086,0.765225172,0.871880054,0.607998133,0.679866076,2.343932152,2.194421053,2.212288141,1.862763166,1.951832056,1.768027067,1.867288113,0.288014174,0.383507967,0.319983959,0.157227039,0.738740921,0.264060974,0.094736099,0.145180941,0.186476946,0.149511099,0.287609816,0.296358109,0.192013979,0.735801935,0.259606123,0.084543943,0.13597703,0.124479055
2.00E-05,0.088874102,0.855975151,0.9438591,1.320400953,1.431853056,0.505239964,0.63973403,0.40547514,0.463886976,1.663964033,1.456027985,1.511821032,1.186691999,1.263874054,1.111984015,1.191424131,0.279973984,0.38389802,0.125501156,0.099764824,0.350735188,0.256008863,0.074707985,0.133708954,0.135627031,0.207936049,0.295023918,0.079988956,0.175847054,0.304125071,0.247565031,0.072449923,0.167979002,0.079967976
2.10E-05,0.103893042,0.866696835,0.966192007,1.351917982,1.448812008,0.551671982,0.671742916,0.416003942,0.480070829,1.639982939,1.482094049,1.519882917,1.216042995,1.319787979,1.111974955,1.19988203,0.303977013,0.383888006,0.11202693,0.135668039,0.315024853,0.24527812,0.104068041,0.135874987,0.130176067,0.157888889,0.279994965,0.096182823,0.191672087,0.294449091,0.233690023,0.119905949,0.129024029,0.07107091
2.10E-05,0.07904315,1.399124146,1.486871004,1.902945995,1.977486134,1.063210964,1.183048964,0.775134087,0.847558975,2.247138977,2.055125952,2.103065968,1.766688108,1.855188131,1.662966013,1.750679016,0.415173054,0.494893074,0.359961033,0.288076878,0.335913181,0.263841867,0.103722095,0.136257887,0.152179956,0.192013025,0.415849924,0.352665901,0.335489988,0.303822041,0.263808012,0.104509115,0.122298002,0.125579834
1.91E-05,0.095946074,1.415997982,1.52342391,1.83998704,1.935894966,0.824033976,0.951919079,0.738301992,0.788028002,2.191600084,2.001715899,2.064018011,1.70400095,1.80288887,1.640019894,1.735918999,0.536025047,0.623897076,0.202276945,0.085731983,0.591964006,0.224021912,0.063981056,0.13598609,0.161728859,0.189884186,0.527951002,0.164130926,0.163891077,0.571504831,0.212495089,0.066969872,0.133006096,0.128123045
