. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
2e-05,0.11995697,1.13599205,1.199929953,1.544446945,1.663898945,0.472037077,0.567956924,0.363430977,0.415954113,1.824033976,1.676916122,1.743516922,1.488038063,1.560775995,1.415878057,1.511466026,0.239810944,0.335999966,0.123620033,0.1086061,0.663954973,0.279886007,0.072160006,0.056408882,0.132469177,0.147117853,0.216042995,0.079954147,0.152002811,0.631973028,0.311536074,0.049309969,0.10312295,0.079617977
2e-05,0.071883202,0.943935156,1.015818119,1.408352137,1.524921179,0.391945124,0.479477167,0.295852184,0.361494064,1.671765089,1.507806063,1.559837103,1.319938183,1.4104321,1.263655186,1.342374086,0.223948002,0.279618979,0.071904182,0.096092939,0.551990032,0.31972003,0.056282997,0.088413954,0.099453926,0.163959026,0.207735777,0.081875086,0.117983103,0.536340952,0.326555967,0.068058014,0.114489079,0.034915924
2e-05,0.111894846,0.99998498,1.07811594,1.511769056,1.624042988,0.399915934,0.479687929,0.313984871,0.375709057,1.793187857,1.626656055,1.69373703,1.410620928,1.514036894,1.311972857,1.393914938,0.223990917,0.296880007,0.089993954,0.085931063,0.600069046,0.311987877,0.098648071,0.101148129,0.114886999,0.166531801,0.184985161,0.07882905,0.103978872,0.598428011,0.315798998,0.120121956,0.110006094,0.069694042
1.98e-05,0.135874987,1.039699793,1.111876965,1.607965946,1.727885962,0.468360901,0.552284002,0.385469913,0.452914953,1.839795828,1.663939953,1.751964808,1.496061802,1.567838907,1.400013924,1.516057014,0.288008928,0.368831873,0.097460985,0.082890987,0.571338892,0.360314131,0.096047878,0.111904144,0.055974007,0.175855875,0.232956886,0.08408308,0.099369049,0.559592962,0.40418005,0.051781893,0.160047054,0.024078846
2e-05,0.071854115,0.975687981,1.03985405,1.425296068,1.538189173,0.424371958,0.495488167,0.336012125,0.407890081,1.703986168,1.495985031,1.559436083,1.327986956,1.421399117,1.247959137,1.35174799,0.223834038,0.295909166,0.112178087,0.088359833,0.551316023,0.272271156,0.080027819,0.097309113,0.070688963,0.208001137,0.224055052,0.111980915,0.087598085,0.544365883,0.31189394,0.069651127,0.116790056,0.02124691
2e-05,0.082437038,0.936010122,1.013028145,1.319832087,1.431888103,0.399955034,0.481724024,0.319991112,0.383656979,1.599730968,1.445968151,1.511863947,1.296437979,1.3598001,1.215964079,1.32921195,0.21568799,0.281893969,0.104303122,0.079963923,0.536055088,0.279953957,0.0804739,0.023394108,0.126136065,0.153762817,0.19945693,0.10176301,0.098067045,0.531304121,0.316183805,0.03058815,0.072088003,0.079975843
4.01e-05,0.060658932,1.031000137,1.084670067,1.745417118,1.86232996,0.42036891,0.51482296,0.333694935,0.399657965,2.012712955,1.820706129,1.88437295,1.630562067,1.692624092,1.556715965,1.660778046,0.266380072,0.31664896,0.067314863,0.086673975,0.610631227,0.525715828,0.073846102,0.114855051,0.075289011,0.192006826,0.255990028,0.083009005,0.115164995,0.569847107,0.576107979,0.031846046,0.169705868,0.02204299
2.12e-05,0.079775095,1.011116028,1.063868046,1.543361187,1.639816046,0.407981157,0.503880024,0.303989172,0.351524115,1.871787071,1.679857016,1.751886129,1.493069172,1.593856096,1.394671202,1.496245146,0.232021093,0.329936028,0.071968079,0.103991985,0.603134871,0.383555174,0.09839797,0.050292015,0.136495829,0.191930056,0.250160933,0.021588087,0.152355909,0.559988022,0.4323771,0.09761095,0.045959949,0.112070084
2.1e-05,0.095541954,0.784168005,0.864078045,1.176803112,1.271781921,0.399735928,0.494008064,0.312004089,0.376063108,1.858218908,1.658127069,1.703846931,1.18008709,1.207865,1.056226969,1.159750938,0.200232029,0.288127899,0.11177206,0.087731838,0.384432077,0.272058964,0.123860121,-0.003283978,0.481323957,0.200091839,0.192585945,0.087935209,0.117944956,0.370069981,0.295672894,0.048114061,0.063916922,0.43206501
2.29e-05,0.078582048,0.7905159,0.878576994,1.513053894,1.616605043,0.415288925,0.478634834,0.318344831,0.374620914,1.76274991,1.590668917,1.654567957,1.414685965,1.496381998,1.363116026,1.454562902,0.198696852,0.278624058,0.11964798,0.096944094,0.375226974,0.572600126,0.051569939,0.098367929,0.077615023,0.172080994,0.200042009,0.095996857,0.10401392,0.39994216,0.575985909,0.041819096,0.120223045,0.037962914
