. - Down,. - Up,5 - Down,5 - Up,a - Down,a - Up,e - Down,e - Up,i - Down,i - Up,l - Down,n - Down,n - Up,o - Down,o - Up,r - Down,r - Up,t - Down,t - Up,t - i Down,i - e Down,e - 5 Down,5 - r Down,r - o Down,o - a Down,a - n Down,n - l Down,. - t Up,t - i Up,i - e Up,e - 5 Up,5 - r Up,r - o Up,o - a Up,a - n Up
1.91e-05,0.095827103,0.551910877,0.631782055,0.867790937,0.92770195,0.295958996,0.387065887,0.202608109,0.369050026,0.952049971,0.832001925,0.984961033,0.727983952,0.871015072,0.752301931,0.851954937,0.112047911,0.191840887,0.090560198,0.093350887,0.255951881,0.200391054,-0.024317979,0.139806985,-0.035789012,0.120048046,0.096013784,0.177209139,0.018015861,0.244716168,0.220172882,0.019060135,0.056686878,0.057259083
2e-05,0.136110067,0.732861996,0.800009012,0.999840975,1.160006046,0.551865101,0.681843042,0.232925892,0.408126116,1.191761017,1.055764914,1.223788023,0.959969997,1.103779078,0.887813091,1.002526045,0.133742094,0.199698925,0.099183798,0.318939209,0.180996895,0.154951095,0.072156906,0.039870978,0.055923939,0.135996103,0.063588858,0.208427191,0.273716926,0.11816597,0.202517033,0.101253033,0.056226968,0.063781977
2.41e-05,0.09811306,0.519936085,0.591683149,0.814074039,0.895643234,0.281199217,0.364658117,0.223767042,0.351625204,0.929245234,0.799674034,0.952310085,0.751783133,0.817913055,0.687995195,0.783542156,0.114567041,0.198657036,0.109200001,0.057432175,0.238736868,0.16805911,0.063787938,0.062290906,-0.014400005,0.1295712,0.100543976,0.152968168,0.013032913,0.227025032,0.191859007,0.034370899,0.077730179,0.056666851
1.69e-05,0.063802958,0.536067009,0.610262871,0.807440996,0.891679049,0.279978991,0.360252857,0.209169865,0.311815023,0.894484043,0.767906904,0.908115864,0.726150036,0.794528008,0.707784891,0.791987896,0.111963034,0.175931931,0.097206831,0.070809126,0.256088018,0.171717882,0.018365145,0.08129096,-0.039534092,0.126577139,0.112128973,0.135883092,0.048437834,0.250010014,0.181725025,0.002540112,0.097151041,0.016436815
1.72e-05,0.111932993,0.625448942,0.70401001,0.857396126,0.999984026,0.416110992,0.519904137,0.32006216,0.458332062,1.025304079,0.896738052,1.057099104,0.848082066,0.93611002,0.790504932,0.890486002,0.175987959,0.280003071,0.144074201,0.096048832,0.20933795,0.16505599,0.057577134,0.00931406,0.039341926,0.128566027,0.168070078,0.178328991,0.061572075,0.184105873,0.186475992,0.045624018,0.063874006,0.057115078
2e-05,0.103900194,0.557632208,0.607851982,0.872014999,0.960211992,0.327724218,0.410974026,0.257709026,0.389638186,1.008008003,0.905832052,1.031943083,0.80538106,0.923813105,0.707118988,0.810865164,0.159012079,0.239814043,0.098696947,0.070015192,0.22990799,0.14948678,0.098262072,0.066633939,0.033817053,0.102175951,0.135913849,0.149824143,0.02133584,0.196877956,0.203013182,0.112947941,0.036398887,0.071731091
1.81e-05,0.080109119,0.552098989,0.624179125,0.787533045,0.887957096,0.296463966,0.37716198,0.238406897,0.338793993,0.960117102,0.840013027,0.991979122,0.76800108,0.872019053,0.680439949,0.803452015,0.138382912,0.208069086,0.100023985,0.058057069,0.255635023,0.12834096,0.087561131,0.019531965,0.052479982,0.120104075,0.127959967,0.130724907,0.038367987,0.247017145,0.17927289,0.068567038,0.015938043,0.104022026
2.1e-05,0.072937965,0.455513,0.519722939,0.60119009,0.74953413,0.263602972,0.350970984,0.201525927,0.335669041,0.735556126,0.634060144,0.76658392,0.543504953,0.653460026,0.583743095,0.650042057,0.111622095,0.191380978,0.089903832,0.062077045,0.191910028,0.128230095,-0.040238142,0.057685137,0.032870054,0.101495982,0.118443013,0.144288063,0.015301943,0.168751955,0.130319118,0.003417969,0.096074104,0.01704979
1.69e-05,0.080235958,0.503983021,0.577909946,0.7122159,0.862061024,0.280092001,0.368032932,0.229974031,0.319901943,0.880300045,0.760817051,0.894830942,0.664994001,0.777054071,0.660911083,0.728017092,0.112077951,0.208087921,0.11789608,0.05011797,0.22389102,0.156928062,0.004082918,0.047221899,0.048601151,0.119482994,0.127851963,0.111814022,0.048130989,0.209877014,0.150107146,0.049036979,0.085006953,0.032769918
2.69e-05,0.100811958,0.587338924,0.659377813,0.899509907,0.995282888,0.387305021,0.451097012,0.283089876,0.416385889,1.014441967,0.903533936,1.048058987,0.851294994,0.932471991,0.803143978,0.883052826,0.171444893,0.251223803,0.111644983,0.104215145,0.200033903,0.215805054,0.048151016,0.048214913,0.004024029,0.110908031,0.150411845,0.165162086,0.034711123,0.208280801,0.223675013,0.049419165,0.062810897,0.052776099
2.19e-05,0.071525812,0.52017498,0.591856003,0.785015821,0.869195938,0.295672894,0.385819912,0.216053009,0.351664782,0.95973897,0.831633806,0.985273838,0.75959301,0.855859995,0.687737942,0.803692818,0.108466864,0.175525904,0.107586145,0.079619885,0.224502086,0.167562962,0.071855068,0.025422811,0.046617985,0.128105164,0.104000092,0.176138878,0.03415513,0.206036091,0.211836815,0.052167177,0.013335943,0.1160779
1.81e-05,0.06549716,0.530985117,0.599789143,0.782263994,0.880857944,0.303848028,0.399404049,0.20788312,0.335876942,0.930140018,0.802595139,0.951915979,0.779382944,0.816115141,0.687862158,0.797821999,0.114354134,0.175825119,0.093528986,0.095964908,0.227137089,0.156877041,0.091520786,0.00288105,0.020331145,0.127544879,0.110327959,0.160051823,0.063527107,0.200385094,0.198032856,0.018293142,0.064742803,0.071058035
2.1e-05,0.079779863,0.51984477,0.607774973,0.787936926,0.906067848,0.327891827,0.407981873,0.247936964,0.359780788,0.935942888,0.821810961,0.967911959,0.768083811,0.841229916,0.688016891,0.792421818,0.152401924,0.215980768,0.09553504,0.079954863,0.191952943,0.168172121,0.08006692,0.019853115,0.033874035,0.114131927,0.136200905,0.14380002,0.048201085,0.1997931,0.184646845,0.048808098,0.064837932,0.061844111
1.69e-05,0.071981907,0.496041775,0.558569908,0.728011847,0.856276989,0.288061857,0.392074823,0.216225863,0.327883005,0.904077768,0.776596785,0.930120945,0.711977005,0.791306973,0.64196682,0.744330883,0.125623941,0.19203186,0.090601922,0.071835994,0.207979918,0.145925045,0.070010185,0.016034842,0.048584938,0.127480983,0.120049953,0.135851145,0.064191818,0.166495085,0.185760975,0.04697609,0.064970016,0.073843956
1.79e-05,0.065686941,0.505398989,0.609436989,0.69835186,0.85749197,0.282964945,0.36144495,0.187669992,0.298937798,0.860835791,0.72141695,0.88930583,0.682224989,0.74899888,0.633791924,0.73216486,0.097428799,0.182832956,0.090241193,0.095294953,0.222434044,0.128392935,0.048433065,0.016126871,0.02306509,0.139418841,0.117146015,0.116104842,0.062507152,0.247992039,0.122727871,0.01683402,0.10849309,0.03181386
3.7e-05,0.05288291,0.485019922,0.608337879,0.685018063,0.764876842,0.283818007,0.365165949,0.182555914,0.309108973,0.815014839,0.713852882,0.837045908,0.629812956,0.717206001,0.605111837,0.668751955,0.092890978,0.172837019,0.089664936,0.101262093,0.201201915,0.120091915,0.024701119,0.055205107,0.028834819,0.101161957,0.119954109,0.136271954,0.056056976,0.24317193,0.060414076,0.048454046,0.047670841,0.072169066
2.5e-05,0.071891069,0.512423992,0.563223124,0.64804101,0.796146154,0.297626972,0.370213032,0.208038092,0.343837023,0.816419125,0.701874018,0.855921984,0.615853071,0.719743967,0.543843985,0.696794987,0.105113029,0.175914049,0.102925063,0.08958888,0.21479702,0.031419993,0.072009086,0.032187939,0.053833008,0.114545107,0.10402298,0.167922974,0.026376009,0.193010092,0.133571863,0.02294898,0.076402187,0.05977583
1.91e-05,0.094289064,0.574481964,0.638183117,0.979444981,1.066080093,0.381103992,0.438265085,0.266062021,0.387879133,1.079972029,0.946465015,1.095993996,0.847028971,0.966458082,0.742643118,0.822350025,0.142390013,0.222269058,0.123672008,0.115041971,0.193377972,0.168161154,0.104385853,0.13241601,-0.032979966,0.133507014,0.127979994,0.165610075,0.050385952,0.199918032,0.184166908,0.144108057,0.099622011,0.029913903
1.98e-05,0.061778784,0.541778803,0.614066839,0.845843792,0.981676817,0.334792852,0.431589842,0.221748829,0.338343859,0.998154879,0.886483908,1.029828787,0.814066887,0.917811871,0.718145847,0.798535824,0.133964777,0.201641798,0.087784052,0.113044023,0.206985951,0.176367044,0.09592104,0.031776905,0.040640116,0.111670971,0.139863014,0.136702061,0.093245983,0.182476997,0.184468985,0.119276047,0.063864946,0.04815197
1.6e-05,0.12003684,0.632054806,0.69598484,0.923102856,1.04002285,0.392215967,0.489980936,0.280112982,0.408789873,1.088162899,0.972129822,1.10521698,0.906257868,0.976391792,0.824141979,0.929204941,0.184032917,0.263951778,0.096080065,0.112102985,0.239838839,0.192087173,0.082115889,0.016844988,0.049026966,0.116033077,0.143914938,0.144838095,0.081191063,0.206003904,0.233220101,0.047186851,0.063631058,0.06519413
1.81e-05,0.049858093,0.599148035,0.657717943,1.046508074,1.13769412,0.361797094,0.481910944,0.233888149,0.365494013,1.202082157,1.033736944,1.185976982,0.980890036,1.081742048,0.798043966,0.897773981,0.129810095,0.217564106,0.104078054,0.127908945,0.237350941,0.198895931,0.18284607,0.065618038,-0.01277113,0.168345213,0.167706013,0.147929907,0.116416931,0.175806999,0.240056038,0.183968067,0.055952072,0.048282862
1.69e-05,0.133735895,0.559188843,0.623106956,0.849800825,0.975191832,0.333727837,0.416998863,0.255558968,0.367063999,1.016223907,0.883301973,0.999700785,0.816421986,0.888386965,0.748919964,0.865710974,0.137888908,0.232795,0.11767006,0.078168869,0.225461006,0.189731121,0.067502022,0.033378839,0.033501148,0.132921934,0.099059105,0.134268999,0.049934864,0.206108093,0.242604018,0.022675991,0.086804867,0.024508953
2.1e-05,0.071815968,0.599969864,0.663854837,0.984030008,1.071784019,0.375837803,0.456418991,0.279779911,0.399848938,1.085687876,0.991930008,1.103837967,0.869328976,0.951818943,0.784375906,0.874639988,0.143870831,0.239866972,0.13590908,0.096057892,0.224132061,0.184406042,0.08495307,0.114701032,0.0079,0.093757868,0.168051004,0.159981966,0.056570053,0.207435846,0.210785151,0.077178955,0.119965076,0.032053948
2.91e-05,0.031975985,0.616366148,0.69751811,0.987995148,1.056054115,0.352133989,0.448891163,0.256186008,0.399404049,1.080353975,0.981670141,1.085677147,0.872130156,0.959975004,0.808031082,0.914891005,0.120023966,0.22431612,0.136162042,0.095947981,0.264232159,0.191664934,0.064099074,0.115864992,-0.006325007,0.098683834,0.192340135,0.175087929,0.049487114,0.248626947,0.217372895,0.045083999,0.096079111,0.029623032
1.69e-05,0.101612806,0.71495986,0.758047819,1.07823801,1.150337934,0.53323698,0.616216898,0.374673843,0.518281937,1.21458292,1.097792864,1.198283911,0.982460022,1.1016469,0.881024837,0.958282948,0.246210814,0.318077803,0.128463029,0.158563137,0.18172288,0.166064977,0.101435185,0.095777988,0.019554854,0.116790056,0.216464997,0.200204134,0.097934961,0.141830921,0.200235129,0.143363952,0.048691034,0.047945977
1.6e-05,0.076332092,0.625929117,0.691870928,0.957271099,1.031946898,0.395260096,0.472000122,0.291812897,0.391093016,1.090791941,0.944152117,1.095803022,0.928309917,0.962634087,0.800122976,0.904093981,0.168272972,0.242161989,0.123539925,0.103447199,0.230669021,0.174193859,0.128186941,0.028961182,-0.013118982,0.146639824,0.165829897,0.148931027,0.080907106,0.219870806,0.212223053,0.058540106,0.069312811,0.063856124
1.72e-05,0.064307213,0.656736135,0.705832005,0.888590097,0.971408129,0.405920029,0.505999088,0.272232056,0.411257029,1.060489178,0.936038017,1.054721117,0.89324522,0.955417156,0.805138111,0.864027023,0.152172089,0.240512133,0.120059967,0.133687973,0.250816106,0.148401976,0.088107109,-0.004655123,0.04744792,0.124451161,0.17620492,0.170744896,0.094742059,0.199832917,0.158195018,0.091390133,0.015990973,0.083312988
1.69e-05,0.061583996,0.53352499,0.614099979,0.832291126,0.912907124,0.285799026,0.381485939,0.215330124,0.333588123,0.981642008,0.846668959,0.997430086,0.773563147,0.890305996,0.714569092,0.814028978,0.101830006,0.17356205,0.113500118,0.070468902,0.247725964,0.181044102,0.058994055,0.058727979,0.014377833,0.134973049,0.111978054,0.160026073,0.047897816,0.23261404,0.199928999,0.076277018,0.022601128,0.084522962
2.1e-05,0.085658073,0.471596003,0.547424078,0.749492884,0.881232023,0.290636063,0.399795055,0.215598106,0.375673056,0.903722048,0.807606936,0.943739891,0.727667093,0.830353975,0.615818024,0.754770041,0.080168009,0.167552948,0.135430097,0.075037957,0.18095994,0.144222021,0.111849069,0.021825791,0.058114052,0.096115112,0.081894875,0.208120108,0.024121999,0.147629023,0.207345963,0.075583934,0.050878048,0.062507868
1.91e-05,0.088772058,0.504536152,0.568736076,0.720488071,0.868850946,0.280018091,0.369457006,0.22183609,0.320449114,0.855858088,0.759644032,0.887848139,0.679953098,0.769597054,0.653991938,0.754408121,0.111843109,0.183777094,0.109992981,0.058182001,0.224518061,0.149455786,0.02596116,0.040534973,0.039155961,0.096214056,0.095005036,0.13667202,0.049007892,0.19927907,0.185672045,0.015188933,0.099253892,0.018997193
4.89e-05,0.096539974,0.567571878,0.631361008,0.861198902,0.944442034,0.367447853,0.447266817,0.255504847,0.383528948,1.039742947,0.91218996,1.061225891,0.839509964,0.935319901,0.743573904,0.84394598,0.143577814,0.231450796,0.111927033,0.111943006,0.200124025,0.176002026,0.09593606,0.021688938,0.050991058,0.127552987,0.134910822,0.152078152,0.063737869,0.184094191,0.212584972,0.091373921,0.009122133,0.116783857
1.6e-05,0.006290913,0.520818949,0.620701075,0.700994015,0.844701052,0.254327059,0.340763092,0.166059971,0.299216986,0.913821936,0.765696049,0.929830074,0.717297077,0.788799047,0.631860018,0.732701063,0.060899973,0.14884305,0.105159998,0.088267088,0.26649189,0.111041069,0.085437059,-0.016303062,0.064702034,0.148125887,0.142552137,0.150373936,0.041546106,0.279937983,0.111999988,0.056097984,0.055902005,0.085129022
1.91e-05,0.079871893,0.799952984,0.856029987,1.196311951,1.279644012,0.599852085,0.679724932,0.503890038,0.64192605,1.295996904,1.175743103,1.311933041,1.075838089,1.191215992,0.958184958,1.058069944,0.352147102,0.431758881,0.151742936,0.095962047,0.200100899,0.158231974,0.117653131,0.120473862,-0.020568848,0.120253801,0.351886988,0.210167169,0.037798882,0.176305055,0.202039957,0.133146048,0.08842802,0.032289029
1.91e-05,0.090817928,0.579143047,0.642745018,0.864413023,0.997076988,0.386888981,0.490875006,0.250823975,0.3961339,1.074788094,0.922847033,1.098751068,0.897315025,0.970850945,0.747340918,0.842718124,0.139038086,0.21884799,0.111785889,0.136065006,0.192254066,0.168197871,0.149974107,-0.032902002,0.05843401,0.151941061,0.128030062,0.17728591,0.094741106,0.151870012,0.199973106,0.128132821,0.026226043,0.10167408
2.1e-05,0.103909016,0.536040068,0.60837698,0.815973043,0.907696009,0.304214954,0.415765047,0.225028992,0.376096964,0.989768982,0.856466055,1.001050949,0.7907269,0.889413118,0.704009056,0.839142084,0.124664068,0.199919939,0.100364924,0.079185962,0.231825114,0.167968988,0.086717844,0.025246143,0.040493012,0.133302927,0.096010923,0.176177025,0.039668083,0.192611933,0.230765104,0.050271034,0.018282891,0.09335494
2.1e-05,0.076696157,0.572890997,0.628700018,0.815573931,0.91456008,0.332433939,0.420730114,0.233207941,0.316801071,0.981565952,0.868884087,0.964709044,0.798165083,0.892477036,0.716778994,0.830723047,0.140641928,0.21234107,0.092566013,0.099225998,0.240457058,0.143887997,0.081386089,0.017408848,0.053310156,0.112681865,0.135644913,0.104460001,0.103929043,0.207969904,0.202023029,0.061753989,0.022083044,0.050148964
2.19e-05,0.088058949,0.503940105,0.567867041,0.770596027,0.869920015,0.311818123,0.38390398,0.238068104,0.337275982,0.927915096,0.807599068,0.929355145,0.752809048,0.852441072,0.663947105,0.785968065,0.138798952,0.223855019,0.099269152,0.073750019,0.192121982,0.160007,0.088861943,0.017786979,0.037003041,0.120316028,0.13579607,0.113420963,0.046627998,0.183963061,0.218101024,0.066473007,0.017478943,0.05943513
2.1e-05,0.084694862,0.488064051,0.568052053,0.663842916,0.81607604,0.296200037,0.384258032,0.223994017,0.350919962,0.848058939,0.736260891,0.882874012,0.684010029,0.767725945,0.632184029,0.750126839,0.136216879,0.200479984,0.087777138,0.07220602,0.191864014,0.144119978,0.051826,-0.020167113,0.072417975,0.111798048,0.115785122,0.150439978,0.03333807,0.183794021,0.182074786,0.017599106,0.048350095,0.066797972
2.1e-05,0.111842155,0.521507978,0.576053143,0.852905989,0.969506979,0.296169996,0.388819933,0.239290953,0.354470968,0.98635006,0.920352936,1.002886057,0.744097948,0.832181931,0.68820405,0.770910978,0.12785697,0.21608305,0.111433983,0.056879043,0.225337982,0.166696072,0.055893898,0.108808041,0.067446947,0.065997124,0.104240895,0.138387918,0.034348965,0.18723321,0.194857835,0.061270953,0.137325048,0.033379078
2.1e-05,0.063878059,0.520117998,0.591904879,0.736008883,0.856339931,0.304141045,0.408015013,0.191998959,0.319873095,0.901704073,0.791811943,0.904290915,0.719949961,0.800652981,0.688148022,0.775778055,0.120182037,0.202632904,0.071816922,0.112142086,0.215976953,0.168030024,0.031801939,0.016058922,0.05580306,0.10989213,0.138754845,0.117240191,0.088141918,0.183889866,0.183873176,0.024874926,0.05568695,0.047950984
2.22e-05,0.071688175,0.519265175,0.57585001,0.768110037,0.868077993,0.271806002,0.369071007,0.191873074,0.336513996,0.918493032,0.835291147,0.921857119,0.719954967,0.815665007,0.671550989,0.785374165,0.103983164,0.175747156,0.08788991,0.079932928,0.247459173,0.152285814,0.048403978,0.04815507,0.06718111,0.083201885,0.104058981,0.16076684,0.032557011,0.206779003,0.209524155,0.030290842,0.052412986,0.053779126
1.91e-05,0.10415411,0.512220144,0.576138973,0.73606205,0.831861019,0.296236038,0.394868135,0.232358932,0.344111919,0.880267143,0.811679125,0.895956039,0.712197065,0.794507027,0.648236036,0.760098934,0.14436698,0.208148956,0.087991952,0.063877106,0.215984106,0.136015892,0.063961029,0.023864985,0.075617075,0.068588018,0.103994846,0.135962963,0.050756216,0.181270838,0.183959961,0.034408093,0.037353992,0.06409502
2.12e-05,0.056187153,0.528165102,0.59991312,0.763197184,0.899684191,0.304174185,0.407904148,0.200307131,0.328095198,0.976147175,0.831958055,0.996032,0.812878132,0.897187233,0.672007084,0.799915075,0.13618803,0.214219093,0.064119101,0.103867054,0.223990917,0.143841982,0.140871048,-0.049680948,0.068760871,0.14418912,0.15803194,0.113876105,0.07980895,0.192008972,0.200001955,0.097272158,0.002496958,0.096347809
2.1e-05,0.103947878,0.527971029,0.599735975,0.863980055,0.975903034,0.312011957,0.407785892,0.225259066,0.359974861,1.023743868,0.94373107,1.040386915,0.759765863,0.874543905,0.695985079,0.799875975,0.143348932,0.217674017,0.081910134,0.086752891,0.215959072,0.16801405,0.063780784,0.104214192,0.079751015,0.080012798,0.113726139,0.142300844,0.047811031,0.191950083,0.20014,0.07466793,0.101359129,0.064483881
